iso-date,precip,tmin,tavg,tmax,globrad,wind,relhumid
1981-01-01,0.04,-0.29,3.575,7.44,2.25,7.25,68.39
1981-01-02,3.87,0.23,1.865,3.50,4.55,5.47,82.97
1981-01-03,3.19,2.08,4.93,7.78,1.71,7.62,86.34
1981-01-04,0.14,2.28,4.795,7.31,5.04,5.45,73.22
1981-01-05,0.04,-1.22,1.1099999999999999,3.44,1.85,6.17,74.01
1981-01-06,1.01,-2.44,-0.46499999999999997,1.51,4.85,3.23,81.30
1981-01-07,0.00,-6.42,-4.0,-1.58,2.11,2.36,77.02
1981-01-08,0.00,-12.29,-7.685,-3.08,5.68,2.72,78.70
1981-01-09,0.00,-14.47,-10.49,-6.51,4.24,0.50,69.01
1981-01-10,0.00,-13.13,-8.96,-4.79,1.82,0.12,86.92
1981-01-11,0.28,-7.57,-4.62,-1.67,1.84,0.13,89.92
1981-01-12,0.00,-5.43,-3.3,-1.17,5.22,0.91,83.52
1981-01-13,0.00,-9.26,-5.6899999999999995,-2.12,1.88,0.66,92.52
1981-01-14,0.20,-7.22,-3.61,0.00,6.50,3.00,79.07
1981-01-15,0.90,-5.53,-2.71,0.11,1.94,4.34,93.92
1981-01-16,0.06,-6.82,-2.725,1.37,5.67,4.12,80.02
1981-01-17,4.92,-9.64,-4.555000000000001,0.53,2.28,0.72,100.00
1981-01-18,2.71,-7.49,-3.7800000000000002,-0.07,2.00,0.70,97.40
1981-01-19,1.75,-8.30,-3.2600000000000002,1.78,4.43,1.28,100.00
1981-01-20,0.00,-0.95,1.15,3.25,3.97,3.46,78.32
1981-01-21,0.00,-2.94,-0.61,1.72,4.12,2.83,85.58
1981-01-22,0.00,-2.50,-1.105,0.29,5.21,2.57,72.77
1981-01-23,0.00,-10.39,-5.930000000000001,-1.47,7.67,0.49,76.40
1981-01-24,0.00,-11.89,-5.91,0.07,2.19,0.18,100.00
1981-01-25,0.02,-10.33,-5.285,-0.24,2.21,1.14,100.00
1981-01-26,0.12,-3.58,-0.7,2.18,6.80,5.28,70.64
1981-01-27,0.00,-8.30,-4.5600000000000005,-0.82,7.67,1.71,73.45
1981-01-28,0.00,-9.72,-4.73,0.26,6.42,0.84,74.40
1981-01-29,0.00,-13.55,-6.71,0.13,7.27,0.49,83.81
1981-01-30,0.00,-15.05,-7.94,-0.83,6.24,0.50,83.25
1981-01-31,0.00,-9.24,-2.84,3.56,2.90,0.36,82.72
1981-02-01,0.00,-5.33,1.4299999999999997,8.19,8.19,0.50,72.32
1981-02-02,0.00,-6.53,0.52,7.57,7.44,0.76,74.09
1981-02-03,1.88,-8.51,-1.0299999999999998,6.45,4.09,0.93,95.32
1981-02-04,0.00,1.95,4.25,6.55,2.62,1.25,83.32
1981-02-05,0.00,-0.95,1.56,4.07,5.68,1.02,76.04
1981-02-06,1.98,-2.42,1.1099999999999999,4.64,8.60,1.50,75.52
1981-02-07,0.63,-0.56,3.295,7.15,2.70,1.37,96.88
1981-02-08,0.00,4.93,7.3,9.67,3.21,3.67,77.18
1981-02-09,0.00,3.34,7.33,11.32,6.64,1.24,72.14
1981-02-10,0.08,0.16,2.745,5.33,2.83,2.46,90.00
1981-02-11,0.00,0.74,3.04,5.34,7.56,4.49,61.82
1981-02-12,0.00,-3.10,-0.87,1.36,8.09,2.37,73.27
1981-02-13,0.00,-4.32,-0.9850000000000001,2.35,4.57,2.67,79.17
1981-02-14,0.01,-3.94,-1.955,0.03,6.59,2.49,73.69
1981-02-15,0.00,-3.98,-1.5,0.98,3.41,2.71,76.74
1981-02-16,0.01,-2.86,0.07000000000000006,3.00,3.84,1.69,79.82
1981-02-17,0.00,-2.07,0.5,3.07,8.46,2.35,74.20
1981-02-18,0.00,-5.08,-2.835,-0.59,5.60,4.12,76.64
1981-02-19,0.14,-4.74,-1.05,2.64,3.32,1.87,67.17
1981-02-20,0.00,-6.00,-3.025,-0.05,3.28,0.79,87.96
1981-02-21,4.85,-4.97,-2.27,0.43,3.37,1.98,88.96
1981-02-22,10.41,-2.04,-0.49,1.06,3.42,1.45,96.71
1981-02-23,0.05,-0.31,1.99,4.29,3.47,0.89,92.16
1981-02-24,0.00,0.68,2.645,4.61,3.53,0.92,81.17
1981-02-25,0.00,-2.63,1.8199999999999998,6.27,9.21,1.20,76.06
1981-02-26,0.00,-5.67,-0.915,3.84,11.84,2.76,61.26
1981-02-27,0.00,-7.42,-2.25,2.92,11.86,1.88,65.66
1981-02-28,0.00,-7.96,-3.075,1.81,10.66,4.32,78.02
1981-03-01,0.18,-1.47,0.495,2.46,5.05,5.30,77.39
1981-03-02,0.22,-0.46,0.78,2.02,3.89,1.29,91.27
1981-03-03,0.00,-0.37,0.935,2.24,3.88,0.67,91.78
1981-03-04,0.00,0.06,2.565,5.07,3.93,0.74,83.00
1981-03-05,0.00,-0.31,2.0500000000000003,4.41,4.70,1.37,67.76
1981-03-06,0.00,0.16,5.995,11.83,9.12,0.54,75.89
1981-03-07,0.00,-0.04,4.785,9.61,9.87,0.83,70.94
1981-03-08,1.74,2.04,7.215,12.39,8.87,0.69,82.54
1981-03-09,3.48,3.75,10.2,16.65,7.40,1.43,77.85
1981-03-10,6.34,8.26,11.34,14.42,4.28,0.69,84.05
1981-03-11,1.61,6.92,11.4,15.88,4.38,1.36,86.68
1981-03-12,0.29,9.60,12.829999999999998,16.06,4.65,4.96,65.40
1981-03-13,2.34,4.90,8.74,12.58,4.62,0.91,79.70
1981-03-14,0.00,3.89,8.94,13.99,8.78,1.00,62.90
1981-03-15,0.31,1.92,6.975,12.03,7.45,0.90,64.93
1981-03-16,6.80,2.37,6.045,9.72,4.64,1.00,78.83
1981-03-17,1.46,3.17,7.59,12.01,10.17,1.12,68.00
1981-03-18,3.63,3.18,4.28,5.38,4.75,1.82,90.37
1981-03-19,0.00,2.88,5.955,9.03,10.39,6.48,61.10
1981-03-20,0.00,3.23,8.135,13.04,13.11,0.87,60.90
1981-03-21,0.00,-1.28,7.885000000000001,17.05,13.35,0.62,62.89
1981-03-22,0.00,0.45,8.379999999999999,16.31,15.79,4.45,59.89
1981-03-23,6.42,4.38,10.705,17.03,12.94,0.87,62.08
1981-03-24,0.39,7.70,12.209999999999999,16.72,8.99,3.44,68.82
1981-03-25,0.00,9.21,13.375,17.54,7.74,1.02,84.58
1981-03-26,1.94,7.31,14.225,21.14,12.32,2.20,74.49
1981-03-27,0.00,6.48,10.315000000000001,14.15,12.75,5.14,52.56
1981-03-28,0.00,-0.60,7.46,15.52,18.70,1.14,67.64
1981-03-29,0.00,4.23,9.86,15.49,14.41,7.28,57.48
1981-03-30,0.00,9.38,12.86,16.34,13.13,8.56,57.87
1981-03-31,0.00,10.21,14.155000000000001,18.10,10.93,6.34,57.51
1981-04-01,0.00,7.61,13.285,18.96,14.06,2.02,57.59
1981-04-02,0.00,7.36,12.83,18.30,14.96,2.02,49.89
1981-04-03,0.00,0.10,6.1899999999999995,12.28,15.91,1.62,61.17
1981-04-04,0.77,0.53,7.574999999999999,14.62,15.49,2.18,63.27
1981-04-05,0.00,6.48,9.985,13.49,7.52,0.97,65.95
1981-04-06,0.00,2.25,9.855,17.46,13.34,0.57,59.14
1981-04-07,0.00,2.78,10.975000000000001,19.17,18.01,0.68,57.92
1981-04-08,0.09,2.32,12.17,22.02,18.01,0.69,59.15
1981-04-09,0.01,9.17,14.754999999999999,20.34,12.32,1.62,57.11
1981-04-10,0.00,3.82,10.685,17.55,14.30,1.60,58.27
1981-04-11,0.00,3.41,10.89,18.37,19.49,0.89,49.82
1981-04-12,0.00,2.18,11.495,20.81,20.68,2.91,61.84
1981-04-13,0.00,3.81,14.285,24.76,20.26,0.68,50.90
1981-04-14,0.00,8.95,14.29,19.63,20.97,2.04,29.43
1981-04-15,0.00,2.25,11.005,19.76,21.61,0.73,35.75
1981-04-16,0.00,3.41,8.15,12.89,18.59,3.31,51.62
1981-04-17,0.00,-2.10,2.5250000000000004,7.15,14.12,1.97,62.77
1981-04-18,0.00,-1.14,3.555,8.25,17.09,3.52,67.21
1981-04-19,0.00,-0.94,4.515000000000001,9.97,17.15,1.38,60.45
1981-04-20,0.00,-2.58,4.415,11.41,20.18,0.71,59.68
1981-04-21,0.00,-1.75,6.65,15.05,21.62,1.28,55.17
1981-04-22,0.00,1.88,7.52,13.16,18.97,1.73,52.93
1981-04-23,0.32,0.87,6.529999999999999,12.19,14.55,2.20,70.05
1981-04-24,0.00,-0.02,5.88,11.78,12.17,1.40,59.26
1981-04-25,0.01,4.35,8.68,13.01,11.03,1.20,74.69
