iso-date,precip,tmin,tavg,tmax,globrad,wind,relhumid
1981-01-01,0.54,-0.73,2.365,5.46,1.73,5.74,74.53
1981-01-02,2.78,0.36,1.585,2.81,2.79,5.01,81.74
1981-01-03,2.60,0.86,3.335,5.81,1.65,6.04,91.46
1981-01-04,1.16,1.72,3.8049999999999997,5.89,2.18,3.22,78.50
1981-01-05,4.01,-2.90,-0.485,1.93,1.90,3.35,81.41
1981-01-06,0.93,-7.81,-4.3549999999999995,-0.90,2.55,0.95,85.88
1981-01-07,0.37,-12.32,-8.22,-4.12,2.22,2.53,82.04
1981-01-08,0.00,-14.99,-10.254999999999999,-5.52,3.44,2.20,74.86
1981-01-09,0.00,-17.80,-13.115,-8.43,2.87,0.72,85.18
1981-01-10,0.14,-14.65,-10.265,-5.88,1.74,0.55,89.19
1981-01-11,0.29,-6.72,-4.22,-1.72,1.76,1.35,89.49
1981-01-12,0.00,-5.81,-3.3949999999999996,-0.98,1.88,1.63,79.91
1981-01-13,0.00,-11.30,-6.6850000000000005,-2.07,2.12,0.74,97.14
1981-01-14,1.20,-10.76,-6.125,-1.49,3.74,2.89,82.72
1981-01-15,1.37,-7.41,-4.425,-1.44,1.84,4.80,100.00
1981-01-16,0.11,-9.72,-4.625,0.47,3.22,2.89,80.73
1981-01-17,2.23,-9.49,-5.165,-0.84,1.89,2.93,100.00
1981-01-18,5.40,-4.12,-2.455,-0.79,1.91,1.46,98.04
1981-01-19,2.74,-4.49,-2.105,0.28,2.07,3.07,95.53
1981-01-20,1.22,-1.70,0.5000000000000001,2.70,2.10,3.32,85.25
1981-01-21,0.00,-4.75,-1.98,0.79,2.70,2.96,90.86
1981-01-22,0.00,-4.33,-2.085,0.16,2.68,4.34,78.22
1981-01-23,0.00,-13.53,-8.405,-3.28,5.62,1.02,80.15
1981-01-24,0.00,-12.25,-6.595,-0.94,2.09,0.98,93.79
1981-01-25,0.23,-9.82,-6.215,-2.61,2.11,2.27,100.00
1981-01-26,0.15,-4.79,-2.235,0.32,5.32,5.05,79.09
1981-01-27,0.00,-9.81,-5.565,-1.32,5.27,2.99,76.78
1981-01-28,0.00,-11.99,-6.13,-0.27,3.48,1.25,77.58
1981-01-29,0.00,-17.90,-9.469999999999999,-1.04,5.50,0.78,83.77
1981-01-30,0.00,-14.18,-9.12,-4.06,3.52,0.39,100.00
1981-01-31,0.00,-12.28,-5.569999999999999,1.14,2.47,0.94,100.00
1981-02-01,0.00,-10.11,-3.1849999999999996,3.74,6.26,1.64,86.95
1981-02-02,0.00,-9.03,-2.135,4.76,6.04,0.85,78.51
1981-02-03,3.09,-12.15,-3.2950000000000004,5.56,2.77,2.57,100.00
1981-02-04,2.73,0.65,2.435,4.22,2.77,2.46,86.52
1981-02-05,0.00,-2.37,0.3699999999999999,3.11,4.86,2.47,79.69
1981-02-06,0.95,-3.97,-0.18000000000000016,3.61,7.34,3.17,77.97
1981-02-07,1.04,-1.75,1.8650000000000002,5.48,2.60,2.56,97.28
1981-02-08,0.00,1.83,4.925,8.02,3.07,2.84,85.22
1981-02-09,0.00,2.07,5.140000000000001,8.21,3.02,2.07,81.68
1981-02-10,0.11,-2.59,0.6950000000000001,3.98,2.73,2.50,100.00
1981-02-11,0.02,-0.88,1.9849999999999999,4.85,7.07,4.52,65.24
1981-02-12,0.02,-5.42,-2.6149999999999998,0.19,5.55,3.03,81.35
1981-02-13,0.16,-4.19,-1.4400000000000002,1.31,3.30,3.97,83.68
1981-02-14,0.00,-5.11,-2.765,-0.42,6.54,1.82,72.23
1981-02-15,0.00,-4.92,-2.56,-0.20,2.98,2.64,82.99
1981-02-16,0.11,-2.67,-0.21999999999999997,2.23,3.15,2.22,81.52
1981-02-17,0.00,-2.50,-0.24,2.02,7.22,3.35,74.97
1981-02-18,0.17,-5.79,-3.68,-1.57,3.13,4.41,79.48
1981-02-19,0.04,-5.92,-3.67,-1.42,3.29,3.52,81.57
